%Freq (Hz)	Omega
1.610000e-02	2.542925e-12
1.635000e-02	2.704587e-12
1.660000e-02	2.873838e-12
1.685000e-02	3.050912e-12
1.710000e-02	3.236044e-12
1.735000e-02	3.429477e-12
1.760000e-02	3.631455e-12
1.785000e-02	3.842226e-12
1.810000e-02	4.062041e-12
1.835000e-02	4.291156e-12
1.860000e-02	4.529829e-12
1.885000e-02	4.778322e-12
1.910000e-02	5.036902e-12
1.935000e-02	5.305837e-12
1.960000e-02	5.585400e-12
1.985000e-02	5.875868e-12
2.010000e-02	6.177521e-12
2.035000e-02	6.490642e-12
2.060000e-02	6.815518e-12
2.085000e-02	7.152440e-12
2.110000e-02	7.501702e-12
2.135000e-02	7.863602e-12
2.160000e-02	8.238440e-12
2.185000e-02	8.626523e-12
2.210000e-02	9.028157e-12
2.235000e-02	9.443655e-12
2.260000e-02	9.873332e-12
2.285000e-02	1.031751e-11
2.310000e-02	1.077650e-11
2.335000e-02	1.125065e-11
2.360000e-02	1.174027e-11
2.385000e-02	1.224570e-11
2.410000e-02	1.276727e-11
2.435000e-02	1.330534e-11
2.460000e-02	1.386023e-11
2.485000e-02	1.443230e-11
2.510000e-02	1.502190e-11
2.535000e-02	1.562938e-11
2.560000e-02	1.625511e-11
2.585000e-02	1.689944e-11
2.610000e-02	1.756273e-11
2.635000e-02	1.824536e-11
2.660000e-02	1.894770e-11
2.685000e-02	1.967013e-11
2.710000e-02	2.041302e-11
2.735000e-02	2.117675e-11
2.760000e-02	2.196172e-11
2.785000e-02	2.276831e-11
2.810000e-02	2.359692e-11
2.835000e-02	2.444794e-11
2.860000e-02	2.532177e-11
2.885000e-02	2.621883e-11
2.910000e-02	2.713951e-11
2.935000e-02	2.808422e-11
2.960000e-02	2.905339e-11
2.985000e-02	3.004743e-11
3.010000e-02	3.106676e-11
3.035000e-02	3.211181e-11
3.060000e-02	3.318300e-11
3.085000e-02	3.428078e-11
3.110000e-02	3.540557e-11
3.135000e-02	3.655781e-11
3.160000e-02	3.773795e-11
3.185000e-02	3.894644e-11
3.210000e-02	4.018372e-11
3.235000e-02	4.145025e-11
3.260000e-02	4.274648e-11
3.285000e-02	4.407289e-11
3.310000e-02	4.542992e-11
3.335000e-02	4.681805e-11
3.360000e-02	4.823776e-11
3.385000e-02	4.968951e-11
3.410000e-02	5.117378e-11
3.435000e-02	5.269106e-11
3.460000e-02	5.424184e-11
3.485000e-02	5.582659e-11
3.510000e-02	5.744582e-11
3.535000e-02	5.910003e-11
3.560000e-02	6.078970e-11
3.585000e-02	6.251535e-11
3.610000e-02	6.427747e-11
3.635000e-02	6.607660e-11
3.660000e-02	6.791322e-11
3.685000e-02	6.978787e-11
3.710000e-02	7.170107e-11
3.735000e-02	7.365334e-11
3.760000e-02	7.564520e-11
3.785000e-02	7.767719e-11
3.810000e-02	7.974985e-11
3.835000e-02	8.213685e-11
3.860000e-02	8.484920e-11
3.885000e-02	8.763273e-11
3.910000e-02	9.048883e-11
3.935000e-02	9.341893e-11
3.960000e-02	9.642444e-11
3.985000e-02	9.950682e-11
4.010000e-02	1.026675e-10
4.035000e-02	1.059080e-10
4.060000e-02	1.092299e-10
4.085000e-02	1.126345e-10
4.110000e-02	1.161236e-10
4.135000e-02	1.196985e-10
4.160000e-02	1.233610e-10
4.185000e-02	1.271126e-10
4.210000e-02	1.309549e-10
4.235000e-02	1.348895e-10
4.260000e-02	1.389182e-10
4.285000e-02	1.430426e-10
4.310000e-02	1.472643e-10
4.335000e-02	1.515852e-10
4.360000e-02	1.560068e-10
4.385000e-02	1.605311e-10
4.410000e-02	1.651597e-10
4.435000e-02	1.698945e-10
4.460000e-02	1.747373e-10
4.485000e-02	1.796898e-10
4.510000e-02	1.847540e-10
4.535000e-02	1.899318e-10
4.560000e-02	1.952250e-10
4.585000e-02	2.006356e-10
4.610000e-02	2.061654e-10
4.635000e-02	2.118166e-10
4.660000e-02	2.175909e-10
4.685000e-02	2.234906e-10
4.710000e-02	2.295175e-10
4.735000e-02	2.356737e-10
4.760000e-02	2.419613e-10
4.785000e-02	2.483825e-10
4.810000e-02	2.549392e-10
4.835000e-02	2.616336e-10
4.860000e-02	2.684680e-10
4.885000e-02	2.754445e-10
4.910000e-02	2.825652e-10
4.935000e-02	2.898324e-10
4.960000e-02	2.972484e-10
4.985000e-02	3.048155e-10
5.010000e-02	3.125358e-10
5.035000e-02	3.204119e-10
5.060000e-02	3.284459e-10
5.085000e-02	3.366402e-10
5.110000e-02	3.449973e-10
5.135000e-02	3.535196e-10
5.160000e-02	3.622094e-10
5.185000e-02	3.710693e-10
5.210000e-02	3.801017e-10
5.235000e-02	3.893092e-10
5.260000e-02	3.986942e-10
5.285000e-02	4.082594e-10
5.310000e-02	4.180072e-10
5.335000e-02	4.279404e-10
5.360000e-02	4.380616e-10
5.385000e-02	4.483733e-10
5.410000e-02	4.588783e-10
5.435000e-02	4.695793e-10
5.460000e-02	4.804790e-10
5.485000e-02	4.915802e-10
5.510000e-02	5.028856e-10
5.535000e-02	5.143981e-10
5.560000e-02	5.261204e-10
5.585000e-02	5.380555e-10
5.610000e-02	5.502062e-10
5.635000e-02	5.625755e-10
5.660000e-02	5.751662e-10
5.685000e-02	5.879814e-10
5.710000e-02	6.010239e-10
5.735000e-02	6.142969e-10
5.760000e-02	6.278033e-10
5.785000e-02	6.415463e-10
5.810000e-02	6.555289e-10
5.835000e-02	6.697543e-10
5.860000e-02	6.842255e-10
5.885000e-02	6.989459e-10
5.910000e-02	7.139185e-10
5.935000e-02	7.291465e-10
5.960000e-02	7.446334e-10
5.985000e-02	7.603823e-10
6.010000e-02	7.763965e-10
6.035000e-02	7.926794e-10
6.060000e-02	8.092344e-10
6.085000e-02	8.260648e-10
6.110000e-02	8.431741e-10
6.135000e-02	8.605657e-10
6.160000e-02	8.782431e-10
6.185000e-02	8.962099e-10
6.210000e-02	9.144695e-10
6.235000e-02	9.330255e-10
6.260000e-02	9.518815e-10
6.285000e-02	9.710411e-10
6.310000e-02	9.905080e-10
6.335000e-02	1.010286e-09
6.360000e-02	1.030378e-09
6.385000e-02	1.050789e-09
6.410000e-02	1.071523e-09
6.435000e-02	1.092582e-09
6.460000e-02	1.114250e-09
6.485000e-02	1.140374e-09
6.510000e-02	1.167007e-09
6.535000e-02	1.194156e-09
6.560000e-02	1.221829e-09
6.585000e-02	1.250035e-09
6.610000e-02	1.278781e-09
6.635000e-02	1.308076e-09
6.660000e-02	1.337928e-09
6.685000e-02	1.368346e-09
6.710000e-02	1.399338e-09
6.735000e-02	1.430912e-09
6.760000e-02	1.463078e-09
6.785000e-02	1.495845e-09
6.810000e-02	1.529220e-09
6.835000e-02	1.563214e-09
6.860000e-02	1.597836e-09
6.885000e-02	1.633094e-09
6.910000e-02	1.668998e-09
6.935000e-02	1.705557e-09
6.960000e-02	1.742781e-09
6.985000e-02	1.780680e-09
7.010000e-02	1.819263e-09
7.035000e-02	1.858540e-09
7.060000e-02	1.898522e-09
7.085000e-02	1.939218e-09
7.110000e-02	1.980638e-09
7.135000e-02	2.022792e-09
7.160000e-02	2.065692e-09
7.185000e-02	2.109347e-09
7.210000e-02	2.153768e-09
7.235000e-02	2.198967e-09
7.260000e-02	2.244952e-09
7.285000e-02	2.291737e-09
7.310000e-02	2.339331e-09
7.335000e-02	2.387746e-09
7.360000e-02	2.436993e-09
7.385000e-02	2.487084e-09
7.410000e-02	2.538029e-09
7.435000e-02	2.589842e-09
7.460000e-02	2.642533e-09
7.485000e-02	2.696114e-09
7.510000e-02	2.750597e-09
7.535000e-02	2.805995e-09
7.560000e-02	2.862320e-09
7.585000e-02	2.919584e-09
7.610000e-02	2.977799e-09
7.635000e-02	3.039243e-09
7.660000e-02	3.109593e-09
7.685000e-02	3.181334e-09
7.710000e-02	3.254489e-09
7.735000e-02	3.329081e-09
7.760000e-02	3.405134e-09
7.785000e-02	3.482671e-09
7.810000e-02	3.561717e-09
7.835000e-02	3.642295e-09
7.860000e-02	3.724431e-09
7.885000e-02	3.808150e-09
7.910000e-02	3.893476e-09
7.935000e-02	3.980436e-09
7.960000e-02	4.069055e-09
7.985000e-02	4.159361e-09
8.010000e-02	4.251378e-09
8.035000e-02	4.345135e-09
8.060000e-02	4.440659e-09
8.085000e-02	4.537977e-09
8.110000e-02	4.637118e-09
8.135000e-02	4.738109e-09
8.160000e-02	4.840980e-09
8.185000e-02	4.945759e-09
8.210000e-02	5.052476e-09
8.235000e-02	5.161160e-09
8.260000e-02	5.271843e-09
8.285000e-02	5.384554e-09
8.310000e-02	5.510728e-09
8.335000e-02	5.644761e-09
8.360000e-02	5.781639e-09
8.385000e-02	5.921412e-09
8.410000e-02	6.064133e-09
8.435000e-02	6.209855e-09
8.460000e-02	6.358632e-09
8.485000e-02	6.510518e-09
8.510000e-02	6.665569e-09
8.535000e-02	6.823842e-09
8.560000e-02	6.985393e-09
8.585000e-02	7.150282e-09
8.610000e-02	7.318566e-09
8.635000e-02	7.490305e-09
8.660000e-02	7.665560e-09
8.685000e-02	7.844393e-09
8.710000e-02	8.026866e-09
8.735000e-02	8.213042e-09
8.760000e-02	8.402985e-09
8.785000e-02	8.596762e-09
8.810000e-02	8.794437e-09
8.835000e-02	8.996077e-09
8.860000e-02	9.201752e-09
8.885000e-02	9.411530e-09
8.910000e-02	9.625480e-09
8.935000e-02	9.843674e-09
8.960000e-02	1.006618e-08
8.985000e-02	1.029308e-08
9.010000e-02	1.052444e-08
9.035000e-02	1.076034e-08
9.060000e-02	1.100085e-08
9.085000e-02	1.124606e-08
9.110000e-02	1.149603e-08
9.135000e-02	1.175085e-08
9.160000e-02	1.201060e-08
9.185000e-02	1.227535e-08
9.210000e-02	1.254521e-08
9.235000e-02	1.282023e-08
9.260000e-02	1.310052e-08
9.285000e-02	1.338616e-08
9.310000e-02	1.367723e-08
9.335000e-02	1.397383e-08
9.360000e-02	1.427603e-08
9.385000e-02	1.458394e-08
9.410000e-02	1.489765e-08
9.435000e-02	1.521724e-08
9.460000e-02	1.554282e-08
9.485000e-02	1.587448e-08
9.510000e-02	1.621231e-08
9.535000e-02	1.655642e-08
9.560000e-02	1.690690e-08
9.585000e-02	1.726385e-08
9.610000e-02	1.762738e-08
9.635000e-02	1.799760e-08
9.660000e-02	1.837459e-08
9.685000e-02	1.875848e-08
9.710000e-02	1.914937e-08
9.735000e-02	1.954737e-08
9.760000e-02	1.995259e-08
9.785000e-02	2.036514e-08
9.810000e-02	2.078513e-08
9.835000e-02	2.121269e-08
9.860000e-02	2.164791e-08
9.885000e-02	2.209094e-08
9.910000e-02	2.254187e-08
9.935000e-02	2.300084e-08
9.960000e-02	2.346797e-08
9.985000e-02	2.394337e-08
